start	end	text
0	8440	Thank you, Tom. Let's move to the second chapter, which is called Air War. The first
8440	20600	question will be about Russian Cubs, guided bombs. There are reports that Russia has increased
20600	29560	the range of its Cubs from 30 kilometers up to even 80 kilometers. The question is how
29560	37440	much further can this range be increased? Okay, first start. Russia didn't increase the range.
37440	45880	The range was 60 to 70 kilometers already last year. This is simply physics. And this physics
45880	50080	comes from the weight of the weapon combined with the speed of the aircraft carrying it. At
50080	57440	the time it's released, plus the attitude of the aircraft. At the time it's released in the bomb.
57440	69040	So what happens, SO-34 comes in at an altitude between 9,000 and 12,000 meters at a high subsonic
69040	79040	speed, which means something like 1,100 kilometers per hour. So then it enters a shallow
79040	86800	climb, flies like this, and releases the bomb. The bombs drop from the aircraft, open their wings,
86800	96280	and then they glide over 60 to 70 kilometers in a parabolic trajectory until hitting the ground.
96280	104400	So the point is now the following. Depending on the sector of the front line, where they deploy
104440	111840	such bombs, in some cases, Russians are free to fly their SO-34s all the way over the Ukrainian
111840	117560	positions. For example, in Wuchleda area, the last two weeks, they were free to fly over Wuchleda.
117560	124080	Because the glorious general staff of the Ukrainian Armed Forces didn't take care to deploy at least
124080	131920	proper air defenses on that place. Therefore, they could reach 70 kilometers behind Wuchleda.
134800	147640	But in other sectors, for example, Kursk, they can't. In Kursk, the Ukrainian air defenses are strong
147640	153160	enough that the Russians have to release their bombs from 70 kilometers away, from, let's say,
153160	159040	50 kilometers behind their front line, to reach a target only 20 kilometers behind the Ukrainian
160040	163360	front line, 10 to 20 kilometers behind the Ukrainian front line. And then it appears to
163360	169640	plenty of people that the range is shorter than just 30 kilometers. In other cases,
169640	175920	the Russians do not need to hit something that is further away than 30 kilometers. So they are
175920	180840	releasing their bombs and they are striking targets just 30 kilometers away. Because the target is
180840	187000	simply closer and less well protected. So, correspondingly, the range was always 60 to 70
187000	194560	kilometers. And now it might be increased to around 100 kilometers with the help of rocket
194560	200240	boosters. That means there's a rocket engine, rocket motor, sorry, installed on the rear,
200240	206360	at the rear of the of the UMPK. And this is empowering the bomb. And instead of glide bomb,
206360	211760	it's becoming a guided missile de facto. So that is the answer to your question.
212720	222200	That's clear, Tom. Is it is it true that Russians already developed not
222200	234440	far flying Cubs, but also more powerful Cubs? I mean that more more heavier ones. For example,
234800	245160	everyone knows about Cup 500. But some people already say about Cup 900 or something like that.
245160	252880	Okay, let me clarify this. In the Soviet and therefore Russian Air Force, you have specific
252880	262480	calibers of bombs, 250 kilogram, 500 kilogram, 1000, 1500 kilogram, 3000, 5000 and 9000 kilogram
262480	269600	bombs. Okay, these are the biggest bombs. A FAB, Fugas, an aviation, a bomb, 5000,
269600	278480	9000 was the biggest one. And this 9000 means it is 9000 kilogram heavy or somewhere like that.
278480	286800	So correspondingly, for a 9000 kilogram bomb, you need a bomb which can carry a bomb weighting 9 tons.
286800	296520	That is the first point. The second point is, in order to make a glide bomb out of such a bomb,
296520	302400	you need very big wings, big wing surface. And the bigger the wing surface, the further it's flying.
302400	309040	Which in turn means you need the bomb itself is getting ever grow bigger and bigger.
309040	319600	Correspondingly, there is a big problem already with the bomb in caliber of 3000 kilogram of 3 tons.
319600	328720	The construction, this UMP key construction, this module which is installed on top of the bomb,
328720	336120	splitting wings, so it becomes a glide bomb, is so big and so heavy that the bomb is weighting
336120	343560	something like 4 tons. That means that a single SO-34 can only carry one at once, also because of
343560	351680	its sheer size. It is not only the size, it is the weight as well, because you have to consider,
351680	358320	you put a 4000 kilogram bomb under an aircraft and to connect it to the aircraft, you need a hard point,
359280	366400	which is, we call this pylon in English, which can carry 4000 kilogram.
369440	376480	And this pylon weights another 1000 kilogram. So now you have 4000 kilogram of a bomb,
376480	381920	1000 kilogram of the pylon and then you put that on the aircraft, on SO-34, in between the engines.
382880	387680	And you have, in this way, you have put 4000 kilogram on the aircraft.
387680	393920	SO-34 could theoretically carry 8000 kilogram of bombs, but then it's going to fly for the next 200 kilometers.
393920	402880	But because of the threat of Russian bases, they have moved SO-34s away from bases close to Ukraine,
402880	407920	therefore they have to fly very far away, from very far away, from warground in similar places,
408480	415280	and therefore they carry only one such bomb at once. So that is theory. Why? Because so far,
415280	421680	all I've seen, the biggest I've seen as deployed, was 1500 kilogram.
423440	426480	You're talking only about Russians or?
426480	434880	Russians, Russians, just Russians. 1500 kilogram. It could be that they have dropped
434880	441040	one or two, 3000, there are prototypes of 3000 kilogram heavy UMPK or carb bomb, if you like it.
442080	446800	It could be they have deployed two or three of this, but I haven't seen any clear evidence,
446800	452080	any definite evidence that there is such a weapon in serious production in Russia.
452080	459440	At least not its UMPK module. There are 3000 kilogram bombs in Russian arsenals,
459440	466400	and they are in production as well, but there are no UMPK modules which can be installed on such bombs
466400	472720	and manufactured in serious. So most of the times they're actually dropping bombs,
472720	478880	UMPK bombs or carb bombs, if you like, of 250 kilogram and 500 kilogram. From time to time,
478880	487360	they're dropping those of 1000, 1500 kilogram. But 3000 kilogram, I haven't seen clear evidence for
487360	492640	any so far. Even somewhere throughout the world, not only in Ukraine?
496480	503520	When we're talking about around the world. Yes, the question is, are there any examples of
505120	512880	applying such huge stuff, at least somewhere, maybe on the Middle East or somewhere else?
513600	519520	Okay, I see now what you mean. Here we have to distinguish between bombs designed and manufactured,
519520	525440	originally manufactured in Soviet Union, and nowadays in Russia, and between Western bombs.
525440	531040	Why? Because Western bombs are made of parts which should assemble together as necessary.
531040	538560	They are very flexible, they are modular, but they are construction. On Soviet dash Russian bombs,
538640	546080	everything is welded together. That's it. Bomb is delivered to the air base as it was manufactured,
546080	552000	as it was put together already in the factory. You can't change anything about it. So the question,
552960	558720	fundamental question or the fundamental issue while developing the carb or the UMPK
559360	565600	was how to make a module which you can put on such a bomb which is already ready for use.
566320	573920	And this means that every different caliber of bomb needs a different UMPK module. This module
573920	580320	must be ever bigger and bigger because it needs ever bigger wings so that it can reach this 60 to 70
580320	588320	kilometers. Correspondingly, nobody tried to do anything of this kind outside of Russia,
589280	597280	at least not with bombs bigger than 250 kilograms. North Koreans have a similar system,
597280	607680	like UMPK, which is useful for bombs caliber 250, perhaps 500 kilograms. And I've seen them in
607680	615440	use by Sudanese Air Force over Yemen, for example. This is also 7 years ago or something like that.
616160	623280	So this is all I have seen in regards to Soviet-Russian bombs. Then it comes to western bombs. The
623280	628080	situation is entirely different because western bombs are modular and you have you can put the
628080	634800	same kit, so-called kit, on different caliber of bombs. You have bombs caliber 125 kilograms,
634800	643040	125 kilograms, 250, 500, and 1000, actually 907, but let's say 1000 kilograms. So
645040	651280	you put the same guidance kit and the same set of wings on different caliber of bombs.
653200	661600	You can also use specialized casings or bomb bodies like BLU-109, this is this
661600	668560	bunker-buster bomb of 1000 kilogram caliber, or 2000 pounds, as we have seen when Israel
668560	677040	assassinated the Nasrallah. This is a specially hardened casing, which makes sure that bomb penetrates,
677040	682240	you know, goes down through the ground, 20, 30 meters through the ground before detonating.
682240	689200	But the guidance system and the wings system for this bomb is still the same like on any
689200	696720	general bomb, caliber 250 kilometers, because these bodies are all very flexible and modular.
696720	704480	So this is a difference. However, there are no heavier, at least not in widespread tactical
704480	712960	service, no heavier air released bombs in western service or of western origin than 1000 kilogram.
713280	721360	There is one type, this massive penetrator, whatever, 10,000 kilogram bomb in the United States,
722160	727520	but this is carried only by B-2 bombers, and that's it, not a tactical aircraft can deploy it.
727520	734800	So the heaviest bombs of this caliber are around 1000 kilograms in the west.
